Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,pt,temp
Rice,1998,Kharif     ,Tamil Nadu,2386399,8215286,1077.1,235776221.2,692055.71,3.445,325.16,28.55
Rice,1999,Kharif     ,Tamil Nadu,2204046,7225373,922.8,233915402,595092.42,3.499642857,140.2,28.45
Rice,2000,Kharif     ,Tamil Nadu,2113344,7217903,971.1,207466980.5,549469.44,3.611785714,306.27,28.37
Rice,2001,Kharif     ,Tamil Nadu,2059878,6583630,481.3,210375340.1,535568.28,3.532857143,283.34,28.66
Rice,2002,Kharif     ,Tamil Nadu,1516537,3577108,315.9,143570557.8,379134.25,2.884642857,161.97,28.93
Rice,2003,Kharif     ,Tamil Nadu,1396651,3222776,345.6,138240516,335196.24,2.728214286,269.33,28.46
Rice,2004,Kharif     ,Tamil Nadu,1872822,5061622,1034,202901535.5,393292.62,3.015172414,395.29,28.35
Rice,2005,Kharif     ,Tamil Nadu,2050455,5209433,1364.1,245890563.6,430595.55,2.895517241,171.41,28.79
Rice,2006,Kharif     ,Tamil Nadu,1931397,6610607,927.9,246658710.9,424907.34,3.584827586,234.17,28.76
Rice,2007,Kharif     ,Tamil Nadu,1789170,5039954,1067.2,238675278,286267.2,3.213793103,246.56,28.36
Rice,2008,Kharif     ,Tamil Nadu,1931603,5183385,1201.9,276296493.1,173844.27,3.562580645,314.49,28.3
Rice,2009,Kharif     ,Tamil Nadu,1845553,5665258,928.5,287574068.5,313744.01,3.539677419,165.91,28.93
Rice,2010,Kharif     ,Tamil Nadu,1905726,5792415,1095.2,316560145.9,457374.24,3.597419355,320.89,28.99
Rice,2011,Kharif     ,Tamil Nadu,1903772,7458657,926.5,318919885.4,628244.76,4.226451613,293.11,28.48
Rice,2012,Kharif     ,Tamil Nadu,1493276,4050334,706.8,225186020.8,462915.56,3.293225806,288.14,28.56
Rice,2013,Kharif     ,Tamil Nadu,1725730,7115195,740.9,249350727.7,465947.1,4.491935484,280.95,28.56
Rice,2014,Kharif     ,Tamil Nadu,1794991,7949437,911.3,270971841.4,592347.03,4.730322581,216.13,28.76
Rice,2015,Kharif     ,Tamil Nadu,2000212,7374681,1201.9,315853476.9,660069.96,4.061290323,235.15,28.9
Rice,2016,Kharif     ,Tamil Nadu,1442841,3554113,912.4,221115383.3,504994.35,3.068387097,163.94,28.97
Rice,2017,Autumn     ,Tamil Nadu,235255,906616,970.9,37038547.2,89396.9,3.967857143,204.5,27.38
Rice,2017,Summer     ,Tamil Nadu,276272,1234550,970.9,43496263.68,104983.36,4.451428571,154.43,29.75
Rice,2017,Winter     ,Tamil Nadu,1317338,4497284,970.9,207401694.7,500588.44,4.139,61.75,25.97
Rice,2018,Autumn     ,Tamil Nadu,279647,1198496,986.2,45358743.4,97876.45,4.184827586,194.34,27.31
Rice,2018,Summer     ,Tamil Nadu,236904,992095,986.2,38425828.8,82916.4,3.997333333,178.6,29.45
Rice,2018,Winter     ,Tamil Nadu,1204714,3940959,986.2,195404610.8,421649.9,3.749032258,37.04,25.75
Rice,2019,Autumn     ,Tamil Nadu,206535,847692,910.1,35474451.6,76417.95,4.077241379,279.58,25.75
Rice,2019,Summer     ,Tamil Nadu,339990,1463054,910.1,58396682.4,125796.3,4.095,83.19,29.82
Rice,2019,Winter     ,Tamil Nadu,1360882,4954415,910.1,233745092.3,503526.34,3.818387097,59.5,25.65
