Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),Precipitation ,Temperature,Wind Speed
83,1990,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,231.96,743.65,3206,1253.64,27.91,3.34
83,1991,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,264.41,894.59,3383,1133.2,28.08,3.37
83,1992,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,237.07,729.92,3079,882.53,27.89,3.24
83,1993,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,290,883,3045,1391.58,27.7,3.42
83,1994,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,260.71,850.76,3263,1196.34,27.78,3.35
83,1995,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,252.33,765.19,3032,1227.66,27.27,3.07
83,1996,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,155.37,456.72,2940,1732.64,27.51,3.27
83,1997,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,154.69,505.7,3269,1437.25,28.09,3.12
83,1998,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,149.88,522.55,3486,1115.79,28.32,3.25
83,1999,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,144.9,482.6,3331,931.08,27.7,3.22
83,2000,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,132.86,435.5,3278,1035.18,27.82,3.26
83,2001,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,135.16,478.94,3544,1253.37,28.15,3.25
83,2002,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,97.42,278.09,2855,1046.29,28.11,3.18
83,2003,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,97.12,295.64,3044,895.93,28.22,3.27
83,2004,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,101.67,307.11,3021,1358.53,27.49,3.19
83,2005,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,114.72,293.88,2562,1894.66,27.89,3.17
83,2006,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,103.11,395.13,3832,1236.69,27.8,3.05
83,2007,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,91.36,345.13,3778,1255.81,27.62,3.06
83,2008,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,90.87,329.21,3623,1428.04,27.65,2.95
83,2009,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,91.02,331.43,3641,1165.21,28.21,3.11
83,2010,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,95.74,378.63,3955,1361.98,27.82,3.02
83,2011,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,90.42,395.41,4373,1371.22,27.71,3.09
83,2012,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,77.78,344.88,4434,1004.69,27.97,3.06
83,2013,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,85.56,391.84,4580,1023.06,27.78,3.22
83,2014,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,61.88,289.9,4685,1096.01,27.97,3.19
83,2015,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,97.74,415.3,4249,1961.46,27.85,3.01
83,2016,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,72.62,288.04,3967,811.36,28.11,3.04
83,2017,11,Tamil Nadu,Chengalpattu MGR Kancheepuram,90.61,394.58,4354,1290.07,28.12,3.01
84,1990,11,Tamil Nadu,South Arcot Cuddalore,179.94,611.61,3399,941.58,28.24,4.19
84,1991,11,Tamil Nadu,South Arcot Cuddalore,233.31,827.59,3547,883.04,28.2,4.29
84,1992,11,Tamil Nadu,South Arcot Cuddalore,241.88,780.58,3227,767.58,27.88,4.14
84,1993,11,Tamil Nadu,South Arcot Cuddalore,252,625,2480,1126.98,27.98,4.25
84,1994,11,Tamil Nadu,South Arcot Cuddalore,108.94,410.99,3773,764.94,27.88,4.33
84,1995,11,Tamil Nadu,South Arcot Cuddalore,106.43,325.44,3058,784.41,27.96,4.08
84,1996,11,Tamil Nadu,South Arcot Cuddalore,116.4,218.63,1878,1232.26,27.73,4.22
84,1997,11,Tamil Nadu,South Arcot Cuddalore,116.63,358.11,3070,1088.93,28.05,3.96
84,1998,11,Tamil Nadu,South Arcot Cuddalore,110.79,370.94,3348,1096.35,28.38,4.14
84,1999,11,Tamil Nadu,South Arcot Cuddalore,113.84,439.85,3864,824.65,27.85,4.24
84,2000,11,Tamil Nadu,South Arcot Cuddalore,114.32,419.74,3672,885.84,28.07,4.2
84,2001,11,Tamil Nadu,South Arcot Cuddalore,108.38,402.81,3717,919.58,28.28,4.12
84,2002,11,Tamil Nadu,South Arcot Cuddalore,102.34,281.71,2753,757.22,28.34,4.09
84,2003,11,Tamil Nadu,South Arcot Cuddalore,104.16,317.66,3050,795.77,28.3,4.21
84,2004,11,Tamil Nadu,South Arcot Cuddalore,114.6,315.7,2755,1173.9,27.79,4.17
84,2005,11,Tamil Nadu,South Arcot Cuddalore,114.29,218.35,1910,1409.7,28.24,4.11
84,2006,11,Tamil Nadu,South Arcot Cuddalore,105.44,392.38,3721,967.42,27.98,4.04
84,2007,11,Tamil Nadu,South Arcot Cuddalore,102.8,335.12,3260,1060.31,27.95,3.95
84,2008,11,Tamil Nadu,South Arcot Cuddalore,107.82,223.88,2076,1232.65,27.89,3.98
84,2009,11,Tamil Nadu,South Arcot Cuddalore,111.52,322.96,2896,1036.81,28.33,3.97
