Year,,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),Precipitation ,Temperature,Wind Speed
1990,,Telangana,Hyderabad,51.19,140.88,2752.1,931.48,25.65,2.86
1991,,Telangana,Hyderabad,60.18,133.42,2217.02,758.34,26.36,2.71
1992,,Telangana,Hyderabad,43.73,91.93,2102.22,769.16,26.07,2.52
1993,,Telangana,Hyderabad,39,88,2256.41,742.11,26,2.59
1994,,Telangana,Hyderabad,35,81,2314.29,814.12,25.88,2.74
1995,,Telangana,Hyderabad,40,82,2050,1136.55,25.22,2.51
1996,,Telangana,Hyderabad,48,110,2291.67,959.6,25.59,2.46
1997,,Telangana,Hyderabad,40,92,2300,761.29,26.07,2.54
1998,,Telangana,Hyderabad,60,132,2200,934.73,26.48,2.49
1999,,Telangana,Hyderabad,53.25,116.22,2182.54,528.41,25.86,2.7
2000,,Telangana,Hyderabad,58.1,148.22,2551.12,934.76,25.88,2.49
2001,,Telangana,Hyderabad,46.72,124.1,2656.25,789.64,26.1,2.66
2002,,Telangana,Hyderabad,30,60,2000,690.03,26.66,2.69
2003,,Telangana,Hyderabad,36.3,85.55,2356.75,750.43,26.43,2.69
2004,,Telangana,Hyderabad,29.99,78.62,2621.54,680.54,25.65,2.65
2005,,Telangana,Hyderabad,40.26,112.15,2785.64,1144.66,25.55,2.55
2006,,Telangana,Hyderabad,31.05,82.81,2666.99,984.09,25.33,2.48
2007,,Telangana,Hyderabad,30.4,77.02,2533.55,814.14,25.75,2.53
2008,,Telangana,Hyderabad,32.1,92.02,2866.67,1101.08,25.46,2.45
2009,,Telangana,Hyderabad,35.36,92.66,2620.48,750.95,26.57,2.52
2010,,Telangana,Hyderabad,52.36,136.1,2599.31,1028.48,26.31,2.51
2011,,Telangana,Hyderabad,43.67,103.1,2360.89,595.34,25.95,2.61
2012,,Telangana,Hyderabad,40.91,98.4,2405.28,687.21,26.47,2.66
2013,,Telangana,Hyderabad,45.04,102.87,2283.97,1008.16,25.49,2.74
2014,,Telangana,Hyderabad,34.88,91.21,2614.97,638.05,26.07,2.54
2015,,Telangana,Hyderabad,24.28,61.41,2529.24,440.75,26.93,2.58
2016,,Telangana,Hyderabad,41.22,117.83,2858.43,741.24,26.24,2.68
2017,,Telangana,Hyderabad,50.34,150.2,2983.71,786.52,26.11,2.38
1990,,Telangana,Nizamabad,161.28,396.44,2458.09,1086.78,26.01,2.61
1991,,Telangana,Nizamabad,135.39,304.81,2251.35,800.58,27.08,2.48
1992,,Telangana,Nizamabad,106.06,214.99,2027.06,806.55,26.76,2.38
1993,,Telangana,Nizamabad,111,226,2036.04,819.59,26.42,2.42
1994,,Telangana,Nizamabad,110,255,2318.18,957.19,26.34,2.54
1995,,Telangana,Nizamabad,136,290,2132.35,1170.2,25.99,2.38
1996,,Telangana,Nizamabad,148,377,2547.3,991.91,26.52,2.43
1997,,Telangana,Nizamabad,103,184,1786.41,856.66,26.51,2.34
1998,,Telangana,Nizamabad,159,436,2742.14,1046.25,26.97,2.34
1999,,Telangana,Nizamabad,170.26,432.28,2538.94,649.32,26.4,2.52
2000,,Telangana,Nizamabad,180.71,498.04,2756.02,840.73,26.63,2.38
2001,,Telangana,Nizamabad,158.17,400.38,2531.33,771.52,26.68,2.47
2002,,Telangana,Nizamabad,108,180,1666.67,781.92,27.31,2.52
2003,,Telangana,Nizamabad,91.37,282.36,3090.29,867.42,27.07,2.52
2004,,Telangana,Nizamabad,73.4,169.24,2305.72,694.72,26.55,2.55
2005,,Telangana,Nizamabad,149.54,505.99,3383.64,1215.86,26.25,2.42
2006,,Telangana,Nizamabad,167.65,538.86,3214.2,1128,26.1,2.33
2007,,Telangana,Nizamabad,127.45,452.95,3553.94,829.57,26.55,2.34
2008,,Telangana,Nizamabad,190.03,679.61,3576.33,1113.38,26.17,2.31
2009,,Telangana,Nizamabad,121.27,389.06,3208.21,812.31,27.27,2.38
2010,,Telangana,Nizamabad,221.62,844.24,3809.4,1139.46,27,2.32
2011,,Telangana,Nizamabad,259.81,972.2,3741.97,740.69,26.55,2.46
2012,,Telangana,Nizamabad,192.96,736.19,3815.25,757.55,26.98,2.49
2013,,Telangana,Nizamabad,260.81,1044.19,4003.64,1161.5,26.26,2.54
2014,,Telangana,Nizamabad,169.27,620.53,3665.92,694.8,26.85,2.42
2015,,Telangana,Nizamabad,98.03,262.79,2680.71,580.05,27.54,2.44
2016,,Telangana,Nizamabad,265.97,1067.01,4011.74,787.78,27.03,2.43
2017,,Telangana,Nizamabad,267.21,968.95,3626.14,617.01,27.2,2.33
1990,,Telangana,Medak,130.08,283.25,2177.51,1028.61,25.61,2.78
1991,,Telangana,Medak,108.33,175.5,1620.05,799.93,26.55,2.63
1992,,Telangana,Medak,93.97,165.22,1758.22,806.7,26.23,2.5
1993,,Telangana,Medak,92,164,1782.61,790.72,26.05,2.57
1994,,Telangana,Medak,81,181,2234.57,880.68,25.89,2.71
1995,,Telangana,Medak,105,189,1800,1196.19,25.43,2.5
1996,,Telangana,Medak,108,219,2027.78,1004.83,25.82,2.52
1997,,Telangana,Medak,74,135,1824.32,808.99,26.09,2.49
1998,,Telangana,Medak,123,303,2463.41,1008.64,26.56,2.46
1999,,Telangana,Medak,112.83,222.38,1970.93,581.84,25.96,2.68
2000,,Telangana,Medak,123.17,336.23,2729.8,926.75,26.04,2.49
2001,,Telangana,Medak,108.45,276.35,2548.18,806.08,26.19,2.6
2002,,Telangana,Medak,77,158,2051.95,742.04,26.85,2.66
2003,,Telangana,Medak,86.3,216.01,2503.01,815.66,26.62,2.65
2004,,Telangana,Medak,62.46,124.48,1992.96,708.41,25.97,2.67
2005,,Telangana,Medak,85.27,247.33,2900.55,1207.36,25.73,2.57
2006,,Telangana,Medak,101.98,275.25,2699.06,1063.17,25.47,2.48
2007,,Telangana,Medak,92.82,281.55,3033.29,829.45,26,2.51
2008,,Telangana,Medak,123.91,357.44,2884.67,1150.04,25.6,2.45
2009,,Telangana,Medak,83.12,232.69,2799.45,796.01,26.72,2.54
2010,,Telangana,Medak,144.56,514.92,3561.98,1114.43,26.49,2.46
2011,,Telangana,Medak,137.03,406.96,2969.86,687.18,25.96,2.6
2012,,Telangana,Medak,110.36,372.6,3376.22,733.79,26.53,2.63
2013,,Telangana,Medak,170.97,624.49,3652.63,1081.79,25.73,2.71
2014,,Telangana,Medak,110.89,363.08,3274.24,683.01,26.3,2.54
2015,,Telangana,Medak,84.17,239.78,2848.76,545.15,27.06,2.56
2016,,Telangana,Medak,160.77,596.06,3707.62,815.23,26.43,2.56
2017,,Telangana,Medak,180.79,615.82,3406.18,685.67,26.5,2.42
1990,,Telangana,Mahabubnagar,132.68,261.08,1967.74,826.27,25.5,3.02
1991,,Telangana,Mahabubnagar,162.41,385.75,2375.16,709.31,26.23,2.83
1992,,Telangana,Mahabubnagar,77.35,136.78,1768.33,713.91,25.81,2.64
1993,,Telangana,Mahabubnagar,75,126,1680,732.14,25.71,2.77
1994,,Telangana,Mahabubnagar,69,121,1753.62,749,25.64,2.95
1995,,Telangana,Mahabubnagar,100,191,1910,1067.17,25.03,2.65
1996,,Telangana,Mahabubnagar,121,266,2198.35,954.64,25.19,2.61
1997,,Telangana,Mahabubnagar,92,179,1945.65,748.98,25.76,2.7
1998,,Telangana,Mahabubnagar,147,292,1986.39,923.36,26.08,2.6
1999,,Telangana,Mahabubnagar,133.07,225.76,1696.55,500.94,25.63,2.87
2000,,Telangana,Mahabubnagar,166.46,431.43,2591.79,918.01,25.5,2.64
2001,,Telangana,Mahabubnagar,137.18,327.79,2389.49,760.93,25.8,2.78
2002,,Telangana,Mahabubnagar,110,222,2018.18,683.61,26.25,2.78
